x,y
0.30997367774314366, 0.22213367910998727
0.7398688414326564, 0.5035525249153636
0.7536573062048104, 0.7260127931769773
1.1621405750798735, 0.9132030542177318
1.5447704725071478, 1.3212231857599335
1.9599017511830708, 1.6927304372705336
2.178178072977974, 2.018352252127471
2.5194425760887853, 2.2608694057361305
2.8219270220279142, 2.6328450172687496
3.176549100386751, 2.8732530438860167
3.0882167479401392, 2.307114586810364
3.609846536563172, 3.3298080569312347
3.9357577075763466, 3.7573352553407915
4.291158913540194, 4.06129032128802
4.660101731965698, 4.479404892470562
5.065999663695981, 4.692801964617807
5.3398103703930175, 5.055869360718923
5.712333949890702, 5.34085016212866
5.945014292920801, 5.828409110691787
6.358106206271339, 5.886187550924365
6.738712796367917, 6.393233512946452
7.134269379519086, 6.881087275284923
7.418656465444762, 7.060404844785658
8.013284008743906, 7.732463878689622
8.336451151841265, 7.750385452927063
8.737178409281992, 8.589049839876875
8.788885152177569, 8.20901483000334
9.150832352446612, 8.860475690920115
9.597726344615534, 9.657520249051412
10.029846981671431, 9.690904999761578
10.275454010425426, 9.721758619045353
10.572767782074996, 10.384653211577898
11.015800556430285, 10.79971909259974
10.870081553724567, 11.016999666205717
12.279090297629056, 12.020505996375952
12.498843954935262, 12.204711267941445
13.739805784429125, 13.329258719917249
14.114679670422062, 13.888524629249918
14.93624236309624, 14.850315779992481
15.240917164116363, 15.024413497040133
15.949508649937192, 15.695220570704084
16.157856408075254, 16.13067375154726
16.52335211030772, 16.16497186591007
16.88099041533546, 16.59997734967336
17.86545958599205, 17.657953536265442
20.138515217756854, 19.879014472366602
20.409975617958636, 20.011349005769876
20.87533630401883, 20.50064558016015
21.909471161930384, 21.651135450787354
22.387758533714475, 21.738174145248202
22.555805448125106, 21.55244146678747
24.727488649739364, 24.54971367386131
25.24999889373678, 24.943657783053794
25.593576593240286, 25.263490355729342
25.852110307718178, 25.27687044013161
28.825248024213884, 28.4870433319482
32.56106019841937, 32.0247191176093
33.6469017992265, 33.331991431390605
34.43542962838406, 33.83096001621287
34.745670085757524, 33.896943994087074
