x,y
21.428228631760817, 2.7910324236136432
26.119402985074657, 3.1527093596059075
29.850746268656735, 3.374384236453203
37.31343283582092, 3.8916256157635516
44.776119402985074, 4.11330049261084
44.776119402985074, 4.408866995073893
59.70149253731344, 4.778325123152712
63.43283582089555, 5.147783251231523
73.81700820655567, 5.326216083506253
84.14719009454336, 5.69151632268386
101.85607333109374, 6.319832734069347
121.04069683735662, 6.918925126320627
132.55147094111436, 7.287147767411653
148.23648180777326, 7.6703999040574224
161.518144235186, 8.033612713296872
175.64308681672026, 8.426884513645795
192.69608548895394, 8.841216162704132
207.96179872342464, 9.218855432182853
223.11273215914002, 9.57831086753362
238.9359472732799, 9.906269304484184
250.4139271488218, 10.148179240650688
261.07205131896785, 10.390089176817195
275.6982771032298, 10.700513202287233
289.8284901857273, 10.97923728477975
307.63985538545217, 11.320387119256171
324.1394514565436, 11.64225721888711
339.8191918222393, 11.912579395878542
355.1914862984115, 12.195484136663868
368.22719201420546, 12.378946034561956
382.9845947113307, 12.6979749101104
401.4313480827374, 12.994273992998906
419.14023131928775, 13.27677284462959
439.06272496040697, 13.561544675526267
459.72308873638235, 13.874241680262301
480.38345251235774, 14.236619517526488
503.99529682775824, 14.574156938526603
527.6071411431587, 14.914616761440133
550.481115323703, 15.262382589137218
576.3065700436722, 15.599920010137325
603.6077650333541, 15.94117685175452
633.1225704276046, 16.37555204524935
662.6373758218552, 16.764762845536765
693.6279214858184, 17.14998855230588
726.0942074194941, 17.537870988087196
760.0362336228823, 17.900514498252605
796.1918702308393, 18.38058543075729
833.0853769736526, 18.833557727337524
872.9303642558908, 19.282146421047624
914.2510918078416, 19.5860762200434
957.0475596295051, 20.084345746281656
1002.0576378557372, 20.586467529587605
1048.543456351682, 21.00197994709581
1098.718625521908, 21.513400281944463
1149.6316648269903, 21.959996428895415
1204.97192494121, 22.528934946858215
1261.0500551902865, 23.133872142936337
1321.5554062485003, 23.81771419067682
1381.3228871718575, 24.308544875680916
1446.9933291740654, 24.798180032629524
1515.615251715698, 25.477505641049266
1587.1886547967556, 25.89846435303248
1660.9756682823822, 26.550159979725336
1739.9277727120025, 27.169842021821168
1822.569227815904, 27.53779899001098
1907.424293324375, 28.449721223448904
1992.2793588328454, 28.783362108564454

